GMPP ID Number,Project Name,Department,Annual Report Category,Description / Aims,"IPA Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)","SRO Delivery Confidence Assessment 
(A Delivery Confidence Assessment of the project at a fixed point in time, using a three-point scale, Red – Amber – Green; definitions in the IPA Annual Report on Major Projects)",Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date 
(Latest Approved Start Date)","Project - End Date 
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)",Financial Year Baseline (£m) (including Non-Government Costs),Financial Year Forecast (£m) (including Non-Government Costs),Financial Year Variance (%),"Departmental narrative on budget/forecast variance for 2023/24 
(if variance is more than 5%)",TOTAL Baseline Whole Life Costs (£m) (including Non-Government Costs),Departmental Narrative on Budgeted Whole Life Costs,TOTAL Baseline Benefits (£m),Departmental Narrative on Budgeted Benefits
DFT_0048_2021-Q3,2nd Generation UK Search and Rescue Aviation,DFT,Government Transformation and Service Delivery,"The UK Search and Rescue Second Generation (ULSAR2G) programme is the UK's replacement aviation Search & Rescue (SAR) and Ariel Surveillance (ASV) services that will continue to save lives, protect the UK's economic interests and maintain aeronautical compliance with International Conventions beyond 2024.",,Green,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Green. This is primarily due to the following factors. 

The programme is now in the mobilisation phase prior to transition. This is going well with regular meetings between MCA and BHL. Internal workstreams are established and preparing for the transition phase between the old and new contracts._x000D_
_x000D_
The recent Government Internal Assurance Assessment and IPA Gate 4 (Readiness for Service) have found that the programme is well led with well established governance.",2019-12-16,2026-12-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2026-12-31. This is primarily due to the following factors. 

 The contracted schedule has been reviewed on a regular basis and remains on track for the projected end date.",,,,The project did not report yearly cost,1959,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 1959m. This is primarily due to the following factors. 

 The whole Life Cost remains as published in the Full Business Case. Milestone payments will be made as each base transitions into service.",24475,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 24475m. 

The project departmental-agree Benefits at 22/23-Q4 is 24.5b.  _x000D_
_x000D_
The project is in its mobilisation phase.  The Search and Recue bases will transition to the new service between October 2024 and January 2027, during which, the benefits will start to be realised as the assets respond to incidents.  The actual benefits annual benefits will progressively increase as each base transitions to this new contract.  The majority of the benefit value is derived from the lives saved by the service."
DFT_0034_1920-Q2,A12 Chelmsford to A120 Widening,DFT,Infrastructure and Construction,"As announced in the Roads Investment Strategy 2, the scope includes: Widening the A12 to three lanes between junction 19 (north of Chelmsford) and junction 25 (A120 interchange)",,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

SRO DCA remains AMBER following recent governance outcome, Development Consent Order decision and subsequent legal challenge.",2015-04-01,2028-07-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2028-07-31. This is primarily due to the following factors. 

 The project schedule has an approved baseline position of July 2028 for the project end date. The project has achieved all development stage milestones to date, including Development Consent Order decision. However, the Development Consent Order is being challenged and so until this is resolved there is uncertainty about our future milestones.",72.1,58.9,-18,The budget variance exceeds 5%. This is primarily due to the following factors. Forecast spend reduced due to reprofiling of advanced works programme,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.
DFT_0024_1516-Q4,A303 Amesbury to Berwick Down,DFT,Infrastructure and Construction,This is a road upgrade scheme to construct a free-flowing dual carriageway replacing the current single lane on the A303 between Amesbury and Berwick Down including a twin bore tunnel under the majority of the World Heritage Site and a bypass and viaduct to the north of Winterbourne Stoke.,Amber,,"Compared to financial year 22/23-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

The project still awaits the conclusion of legal proceedings. The expected costs and schedule would be confirmed dependent on the outcome of the legal processes.",2014-12-01,ARMP adjustments - Project not yet in a position to give cost/schedule,ARMP adjustments - Project not yet in a position to give cost/schedule,47.1,19.24,-59,The budget variance exceeds 5%. This is primarily due to the following factors. The budget variance reflects changes to the schedule since the baseline was set.,ARMP adjustments - Project not yet in a position to give cost/schedule,ARMP adjustments - Project not yet in a position to give cost/schedule,1486,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 1486m. 

Benefit figures will be finalised once the outcome of legal proceedings is known."
DFT_0044_2021-Q2,A417 Air Balloon,DFT,Infrastructure and Construction,"As announced in the Roads Investment Strategy 2, the scope includes: A417 Air Balloon- connecting the two dual carriageway sections of the A417 near Birdlip in Gloucestershire, taking account of both the environmental sensitivity of the site and the importance of the route to local economy.",,Green,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Green. This is primarily due to the following factors. 

An Independent Assurance Review (IAR) 3B was undertaken in October 2022 with a Green Outcome. Project received 5 recommendations of which 2 were recommendations and 3 were essential. An action plan was put in place and all recommendations have been completed.",2015-04-01,2027-08-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2027-08-31. This is primarily due to the following factors. 

 Start of Works (SoW) was achieved on 17 February 2023, one month ahead of the Department for Transport approved forecast date, and seven months ahead of National Highways Delivery Plan committed date. Project is still on target to achieve commitment dates. The Notice to proceed was issued to National Highways delivery partner on 28 December 2023, to commence the next phase of the construction works.",80.6,47.07,-42,"The budget variance exceeds 5%. This is primarily due to the following factors. The project has re-phased the construction programme, there is no change to the outturn cost.",535,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 increased from 482m. to 535m. This is primarily due to the following factors. 

 The increase is due to cost inflation being higher than anticipated when the previous estimate was set.",424,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 424m. 

There has been no change."
DFT_0031_1819-Q1,A428 Black Cat to Caxton Gibbet,DFT,Infrastructure and Construction,The scheme provides a new off-line two lane dual carriageway between Black Cat roundabout on the A1 in Bedfordshire and Caxton Gibbet roundabout on the A428 in Cambridgeshire.,,Green,"Compared to financial year 22/23-Q4, Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 decreased from Amber to Green. This is primarily due to the following factors. 

The A428 Black Cat to Caxton Gibbet is in the construction phase, achieving Start of Works milestone in November 2023. Chief Secretary to the Treasury approval of the updated Full Business Case and release full funding for the scheme was received in October 2023.",2015-04-01,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,57.1,60,5,The budget variance is inferior or equal to 5%.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.
DFT_0047_2021-Q3,A66 Northern Trans-Pennine,DFT,Infrastructure and Construction,"Upgrading the remaining six single carriageway sections of the A66 between the A1(M) at Scotch Corner and the M6 at Penrith, creating a continuous dual carriageway across the Pennines, including key junction upgrades",,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

Actions arising from the last Assurance Review have been completed. The next IPA Assurance Review will be to support the Full Business Case ahead of Start of Works and will formally review progress against the actions.",2017-07-05,2030-03-31,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2030-03-31. This is primarily due to the following factors. 

 Over the course of Financial Year 23/24, the project has achieved the important milestone of receiving Secretary of State approval to the Development Consent Order (DCO) on the 7 March 2024.",112.47,112.47,0,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) - Commercial interests.,692,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 692m. 

The project's departmental-agree monetised benefits at 22/23-Q4 is 692m. The baseline monetised benefits reflect the June 2022 DfT Investment Committee (IPDC) approved position. The Full Business Case will include confirmation of the project's value for money."
DFT_0038_1920-Q4,East Coast Digital Programme,DFT,Infrastructure and Construction,"The East Coast Digital Programme will introduce European Train Control System signalling technology, also known as digital signalling, to the East Coast Mainline southern section between Kings Cross & Stoke Tunnel just south of Grantham. This will involve the removal of conventional line-side traffic light signals and their replacement with digital signalling which will display safety information in the driver's cab.  _x000D_
_x000D_
As well as being cheaper on a whole-life basis, implementing the technology will provide a number of additional benefits unavailable under convention signals such as improved safety and efficiency as it provides drivers with more information through the continuous communication between the train and track. This is the first implementation of this technology on a UK mainline route and as well as being a significant engineering challenge, it will also involve a major change in working practices for industry.",,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

The programme received an AMBER rating at its annual review held in September 2023. The reviewers praised the unique and innovative approach to delivery used on the programme and the engagement of delivery partners in its output. In addition, they also highlighted several risks to delivery which required attention by the team. This included for example improved communication with stakeholders over delivery plans and ensuring key personnel and skills are retained. In order to address these challenges the review team provided 12 recommendations for ECDP to implement ahead of the next planned review in October 2024. Since the review 8 of the 12 recommendations have been implemented on the programme with a clear plan for the delivery of the remaining 4 ahead of the next review. Notable changes delivered via these recommendations include an update to the programme delivery model, improved ED&I monitoring as well as changes to reporting.",2017-05-01,2030-10-14,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2030-10-14. This is primarily due to the following factors. 

 Final programme completion remains on schedule as at the end of the reporting year. Since the last annual report a number of Tier 1 milestones have been achieved by the programme including the entry into service of the ETCS testing facility at the Rail Innovation and Development Centre where all ETCS fitted trains will be tested and the commissioning of ETCS infrastructure on the Welwyn to Hitchin Overlay Area, where conventional signals will be retained to allow the progressive training of drivers. In addition to these Tier 1 milestones, the 2023-24 reporting year also saw both the running of ETCS trains and the start of mass-driver training for the first time on the Northern City Line. However, despite overall programme completion remaining on schedule there has been delays to several intermediate milestones over this reporting year. This includes for example milestones related to vehicle fitment and infrastructure commissioning. These delays have primarily been driven by loss of access to the railway to complete infrastructure works and constraints in the supply chain",352.34,297.99,-15,"The budget variance exceeds 5%. This is primarily due to the following factors. The variance from the forecast of costs is broadly down to three factors which has moved spend into later years. Firstly, the impact of industrial action in 2022 led to delays in infrastructure delivery between Welwyn and Hitchin the first area on the mainline to have digital signalling infrastructure fitted, causing a consequential delay to the Key Outcome 1 milestone which covers the removal of signals on this stretch of line resulting in costs slipping to the right. In addition, delays to freight fitment and approvals caused by the complexity of the engineering challenge have also pushed spend to later in the programme. The final factor moving spend to the right has been delays to agreeing the contract for the fitment of the Class 80X fleet, which delayed the start of this project and hence moving costs to later in the programme lifecycle.",3477,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 3477m. This is primarily due to the following factors. 

 At the end of the reporting year, programme whole life costs have remained stable since the last annual report. Despite inflation remaining a key risk to the programme this has not yet materialised into higher whole life costs through use of contingency and leveraging commercial tools such as bulk purchase of materials to gain cost savings.  As we move in the 2024-25 reporting cycle, the key risk to maintaining overall programme cost will be the affordability of fleet fitment within the freight and OTM sectors. The programme is actively looking at how it can reduce cost in these sectors through working with the sector.",824,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 2324-Q4 decreased from 826m. to 824m. 

The programme's benefits profile has remained static compared to last reporting period. As the benefits of digital signalling start to materialise on the Northern City Line, the first area to transition to ETCS, the programme will begin monitoring there accrual in earnest over the coming year. Please note that the benefits reported here are in present value at 2010 prices, whereas whole lifecycle costs are in cash prices, so are not directly comparable."
DFT_0033_1819-Q1,East Coast Mainline Programme,DFT,Infrastructure and Construction,The East Coast Main Line Enhancements Programme is a collection of track and power upgrade schemes between London King's Cross and Edinburgh to increase capacity and reduce journey times. The Programme has enabled the East Coast franchise to introduce a new fleet of Intercity Express trains.,,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

Although all of the infrastructure upgrades required to operate the new East Coast Main Line timetable have now been delivered, the Programme's Amber rating reflects the challenging schedule for agreeing and finalising the timetable specification. This activity is being led by the Department's Passenger Services team, and, as of 31/03/24, implementation will not be before December 2024.",2014-04-01,2025-06-02,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 increased from 2024-12-01 to 2025-06-02. This is primarily due to the following factors. 

 Whilst the power supply upgrades required to operate the new timetable have now been delivered, the remaining interventions (required for route resilience purposes) are now forecast for completion in June 2025.",0,68.94,,Programme costs in 2023/24 were significantly higher than the baseline because delays to the power supply upgrades led to costs moving from earlier years; total Programme costs remain within the approved budget.,1040,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 1040m. This is primarily due to the following factors. 

 The baseline whole life cost for the project has not changed and forecast costs remain within the funding range agreed with HM Treasury for the delivery of the Programme.",2953,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 2953m. 

The benefits baseline assumed that the new East Coast Main Line timetable would be introduced in May 2021 but, due to the impact of the pandemic on the rail industry's finances, its implementation has been deferred until December 2024 at the earliest. When the content of the new timetable and its date of introduction have been agreed, the passenger benefits achieved by the Programme will be reforecast."
DFT_0046_2021-Q2,East West Rail Configuration State 1,DFT,Infrastructure and Construction,"The East West Rail (EWR) scheme will create a rail link from Oxford to Cambridge, and is a key part of the government's ambition for the Oxford to Cambridge Arc. EWR is being delivered as a single integrated programme, structured around the phased introduction of services (Connection Stages).  East West Rail Connection Stage 1 (CS1) delivers services between Oxford and Bletchley/Milton Keynes._x000D_
_x000D_
CS1 will re-construct and upgrade a partly disused railway between Bicester and Bletchley. This will allow for the introduction of new passenger services, improving connectivity and journey times along the corridor to support transport and economic growth needs.",Amber,,"Compared to financial year 22/23-Q4, the Infrastructure Project Authority's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

The project is progressing well and is largely on budget and schedule to deliver services by 2025. Infrastructure works have been completed and the Heads of Terms with the operator have been agreed and signed off. There are risks around delivery of rolling stock, mode of operation and ensuring there are enough drivers trained for the start of services. Operational readiness planning is a priority focus for the project.",2011-11-30,2025-09-01,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2025-09-01. This is primarily due to the following factors. 

 Overall the schedule remains ambitious but achieveable. Good progress has been made against important infrastructure milestones, including the completion of all Earthworks and completion of track laying. Imporant progress is being made to ensure operational readiness for entry into service by 2025.",124.82,117.86,-6,The budget variance exceeds 5%. This is primarily due to the following factors. In year variance driven by risk funding that has been brought forward to cover the cost of mitigating industrial action (which impacted track delays) and HS2 costs,1353,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 1353m. This is primarily due to the following factors. 

 The whole life costs for the project have been adjusted slightly to align with the approved business case. These figures represent scheme delivery costs, rather than whole life costs. Project spend largely represents the capital expenditure to deliver infrastructure, through the East West Rail Alliance.",2649,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 2649m. 

The programme has developed the appropriate benefits management documentation and processes. However, the final benefits realisation position is uncertain and dependent on post-Covid travel patterns, housing and job creation; as well as the realisation of later connection stages extending services to Bedford and Cambridge. Please note the 2,654m is a nominal value and has been uplifted for each year across the appraisal period. The 574m/740m are appraisal values in 2010 prices"
DFT_0052_2122-Q1,East West Rail Connection Stage 2 & 3,DFT,Infrastructure and Construction,"The East West Rail (EWR) scheme will create a rail link from Oxford to Cambridge. The project is structured around the phased introduction of services (Connection Stages). _x000D_
East West Rail Connection Stage 2 (CS2) predominantly upgrade existing infrastructure (between Bletchley and Bedford) to allow services between Oxford and Bedford.  East West Rail CS3  involves building a new line, between Bedford and Cambridge, to extend the railway and facilitate services from Oxford to Cambridge.",,Amber,"Compared to financial year 22/23-Q4, the  Senior Responsible Owner's Delivery Confidence Assessment rating at 23/24-Q4 remained at Amber. This is primarily due to the following factors. 

The project is currently being re-baselined following the recommitment to the programme and the route update announcement. _x000D_
EWR Co is now planning for two Statutory Consultations for CS2/3 ahead of an OBC and DCO application. _x000D_
Cross-government discussions are being led by HMT through a new EWR economic growth board on how to maximise the opportunities EWR can unlock. The Budget announced up to 15m of funding for local authorities for this and the first stage of work is progressing on developing local visions for growth around stations.  _x000D_
As part of the Spring Budget on 6 March 2024, the Chancellor announced delivery of works on the Marston Vale Line of East West Rail will be bought forward, supported by 240m. These works will enable the service between Oxford and Bedford to commence by the end of the decade.",2014-08-01,2030-10-09,"Compared to financial year 22/23-Q4, the project's end-date at 23/24-Q4 remained schedule to finish on 2030-10-09. This is primarily due to the following factors. 

 This project is still in the concept and design stage. There remains a degree of uncertainty around the overall project schedule, until further work has been completed to refine delivery options and the project's scope and a funding profile agreed with HMT. More detailed information will be provided in subsequent iterations of the IPA's annual report and via project led public engagement in due course.",175.29,90.15,-49,The budget variance exceeds 5%. This is primarily due to the following factors. Variance of anticipated spend is primarily due to a review of the scheme's priority leading to slower progress than originally anticipated.,3970,"Compared to financial year 22/23-Q4, the project's departmental-agree Whole Life Cost at 23/24-Q4 remained at 3970m. This is primarily due to the following factors. 

 This project is still in the concept and design stage with important scope decisions yet to be made.  The cost range is estimated at 4-7bn. More detailed information will be provided in subsequent iterations of the IPA's annual report, and the funding required will be determined via business case processes.",10961,"Compared to financial year 22/23-Q4, the project's departmental-agree monetised benefits at 23/24-Q4 remained at 10961m. 

No annual return benefits provided. EWR can unlock wider benefits (economic growth, jobs, housing). Final benefits realisation remains uncertain."
